time,latitude,longitude,speed,accuracy,bearing
1551713236483,30.026921,120.869654,35,1,330
1551713237447,30.026998,120.869601,36,1,328
1551713238488,30.027078,120.869548,36,1,331
1551713239482,30.02716,120.869501,36,1,335
1551713239482,30.02716,120.869501,36,1,335
1551713241516,30.027332,120.869414,37,1,337
1551713242515,30.027421,120.869372,38,1,338
1551713243515,30.027513,120.869332,39,1,340
1551713244518,30.027607,120.869289,40,1,338
1551713244580,30.027607,120.869289,40,1,338
1551713246519,30.027805,120.869198,43,1,338
1551713246560,30.027805,120.869198,43,1,338
1551713247543,30.027909,120.86915,44,1,339
1551713248565,30.028016,120.869101,46,1,339
1551713250508,30.028238,120.868999,48,1,339
1551713250547,30.028238,120.868998,48,1,339
1551713251542,30.028352,120.868947,49,1,339
1551713252640,30.028469,120.868895,50,1,339
1551713253547,30.028589,120.868843,51,1,340
1551713254572,30.02871,120.868789,52,1,339
1551713255540,30.028833,120.868736,53,1,339
1551713256616,30.028955,120.868679,52,1,338
1551713257535,30.029077,120.868622,52,1,338
1551713259522,30.029316,120.868514,50,1,339
1551713259522,30.029316,120.868514,50,1,339
1551713260607,30.029434,120.868463,50,1,339
1551713261551,30.029552,120.868412,50,1,339
1551713263502,30.029786,120.868307,50,1,339
1551713263502,30.029786,120.868307,50,1,339
1551713265531,30.030019,120.868199,50,1,338
1551713266524,30.030135,120.868146,50,1,338
1551713267531,30.030249,120.868094,49,1,338
1551713268530,30.030362,120.868042,48,1,339
1551713268579,30.030362,120.868042,48,1,339
1551713270528,30.030579,120.867941,46,1,337
1551713271535,30.030683,120.86789,45,1,337
1551713271535,30.030683,120.86789,45,1,337
1551713273539,30.030878,120.867794,41,1,337
1551713274633,30.030971,120.86775,39,1,338
1551713275557,30.031059,120.867709,37,1,338
1551713276586,30.031143,120.86767,35,1,338
1551713277558,30.031221,120.867634,33,1,338
1551713278600,30.031289,120.867604,29,1,339
1551713279525,30.03135,120.867576,25,1,339
1551713280599,30.031402,120.867553,21,1,339
1551713281590,30.031446,120.867535,17,1,338
1551713282645,30.031478,120.867519,13,1,339
1551713283555,30.031503,120.867509,8,1,340
1551713284591,30.031516,120.867504,5,1,340
1551713285519,30.031523,120.867501,0,1,340
1551713286621,30.031525,120.867501,0,1,0
1551713287551,30.031525,120.867501,0,1,0
1551713288554,30.031526,120.867502,0,1,0
1551713289487,30.031526,120.867503,0,1,0
1551713290562,30.031527,120.867504,0,1,0
1551713291449,30.031527,120.867504,0,1,0
1551713292534,30.031528,120.867504,0,1,0
1551713293490,30.031529,120.867505,0,1,0
1551713294520,30.031529,120.867505,0,1,0
1551713295488,30.031529,120.867505,0,1,0
1551713296482,30.031529,120.867506,0,1,0
1551713297447,30.03153,120.867506,0,1,0
1551713298511,30.03153,120.867507,0,1,0
1551713299447,30.03153,120.867507,0,1,0
1551713300497,30.03153,120.867507,0,1,0
1551713301488,30.031531,120.867507,0,1,0
1551713302467,30.031531,120.867507,0,1,0
1551713303411,30.031531,120.867507,0,1,0
1551713304475,30.031531,120.867507,0,1,0
1551713305410,30.031531,120.867507,0,1,0
1551713305410,30.031531,120.867507,0,1,0
1551713307445,30.031532,120.867506,0,1,0
1551713308441,30.031532,120.867506,0,1,0
1551713309446,30.031533,120.867507,0,1,0
1551713310406,30.031533,120.867508,0,1,0
1551713311446,30.031533,120.867507,0,1,0
1551713312342,30.031534,120.867508,0,1,0
1551713313471,30.031533,120.867507,0,1,0
1551713314408,30.031534,120.867507,0,1,0
1551713315475,30.031534,120.867506,0,0,0
1551713316407,30.031535,120.867506,0,0,0
1551713317451,30.031535,120.867506,0,1,0
1551713318442,30.031536,120.867505,0,0,0
1551713319530,30.031535,120.867505,0,0,0
1551713320438,30.031536,120.867505,0,0,0
1551713321455,30.031536,120.867504,0,0,0
1551713322431,30.031536,120.867505,0,0,0
1551713323473,30.031536,120.867505,0,0,0
1551713324400,30.031536,120.867504,0,0,0
1551713325475,30.031537,120.867503,0,1,0
1551713326432,30.031537,120.867502,0,1,0
1551713327340,30.031537,120.867501,0,1,0
1551713327340,30.031537,120.867501,0,1,0
1551713329397,30.031538,120.8675,0,1,0
1551713330342,30.031539,120.8675,0,1,0
1551713331420,30.031541,120.867499,0,1,0
1551713332326,30.031543,120.867498,0,1,338
1551713333409,30.031544,120.867496,0,1,0
1551713334335,30.031544,120.867495,0,1,0
1551713335383,30.031545,120.867494,0,1,0
1551713336349,30.031548,120.867493,0,1,338
1551713337486,30.031557,120.867488,5,1,339
1551713338478,30.031576,120.867481,10,1,341
1551713339430,30.031607,120.867467,15,1,340
1551713340362,30.031648,120.867451,18,1,341
1551713341437,30.031697,120.867429,22,1,340
1551713342395,30.031754,120.867407,25,1,342
1551713343496,30.031818,120.867383,28,1,343
1551713344422,30.031889,120.867357,31,1,344
1551713345472,30.031967,120.867331,34,1,345
1551713346429,30.032052,120.867304,36,1,344
1551713347463,30.032139,120.867274,37,1,343
